stock_code,expiry_date,update_time,max_pain_price_volume,max_pain_price_open_interest,sum_volume,volume_std_deviation,sum_open_interest
SPY.US,2025-10-14,2025-10-14 09:44:16,657.0,662.0,31089412,13974.82297357849,19345735
SPY.US,2025-10-14,2025-10-14 09:45:45,657.0,662.0,34812081,15579.477277434415,19348545
SPY.US,2025-10-14,2025-10-14 09:47:44,656.0,662.0,38005059,17503.83581634935,19355022
SPY.US,2025-10-14,2025-10-14 09:49:33,656.0,662.0,40387038,19209.40312649486,19355022
SPY.US,2025-10-14,2025-10-14 10:47:20,657.0,662.0,110313981,21491.250227321194,19355022
SPY.US,2025-10-14,2025-10-14 10:55:41,657.0,662.0,117678478,24193.9767691209,19355022
SPY.US,2025-10-14,2025-10-14 11:34:37,659.0,662.0,148705194,55195.45378276832,19355022
SPY.US,2025-10-14,2025-10-14 11:39:38,660.0,662.0,156805925,68596.06259282012,19355022
SPY.US,2025-10-14,2025-10-14 11:44:39,660.0,662.0,162705213,71238.84302755598,19355022
SPY.US,2025-10-14,2025-10-14 11:49:40,660.0,662.0,168027871,70716.66224380759,19355022
SPY.US,2025-10-14,2025-10-14 11:53:34,660.0,662.0,173146280,68371.67808557938,19355022
SPY.US,2025-10-14,2025-10-14 11:54:42,660.0,662.0,174592139,67933.2027852851,19355022
SPY.US,2025-10-14,2025-10-14 11:59:43,660.0,662.0,178958222,65929.3583249743,19355022
SPY.US,2025-10-14,2025-10-14 12:04:44,660.0,662.0,182177973,64605.16990111845,19355022
SPY.US,2025-10-14,2025-10-14 12:09:44,660.0,662.0,186090117,64889.54779836419,19355022
SPY.US,2025-10-14,2025-10-14 12:14:45,660.0,662.0,189110343,64720.81367542843,19355022
SPY.US,2025-10-14,2025-10-14 12:19:46,660.0,662.0,192686699,63910.73987694907,19355022
SPY.US,2025-10-14,2025-10-14 12:24:47,660.0,662.0,200664229,62582.487742179124,19355022
SPY.US,2025-10-14,2025-10-14 12:29:48,660.0,662.0,204213625,62463.18195926453,19355022
SPY.US,2025-10-14,2025-10-14 12:34:48,660.0,662.0,209136671,62336.65600018752,19355022
SPY.US,2025-10-14,2025-10-14 12:39:49,660.0,662.0,215054708,62354.571488193156,19355022
SPY.US,2025-10-14,2025-10-14 12:42:01,660.0,662.0,217491081,62138.59870214862,19355022
SPY.US,2025-10-14,2025-10-14 12:57:01,660.0,662.0,235247109,62986.74360719162,19355022
SPY.US,2025-10-14,2025-10-14 13:12:03,660.0,662.0,249215223,64472.11029437088,19355022
SPY.US,2025-10-14,2025-10-14 13:27:04,660.0,662.0,259758586,66141.07742725466,19355022
SPY.US,2025-10-14,2025-10-14 13:42:05,660.0,662.0,271162472,66653.62315340548,19355022
SPY.US,2025-10-14,2025-10-14 13:57:06,660.0,662.0,281336070,67861.46459936912,19355022
SPY.US,2025-10-14,2025-10-14 14:12:08,660.0,662.0,290390264,68677.94594926033,19355022
SPY.US,2025-10-14,2025-10-14 14:27:09,660.0,662.0,299385364,72822.50542668144,19355022
SPY.US,2025-10-14,2025-10-14 14:42:11,660.0,662.0,309172061,78343.96873586194,19355022
SPY.US,2025-10-14,2025-10-14 14:57:13,660.0,662.0,317149348,79435.95904338825,19355022
SPY.US,2025-10-14,2025-10-14 15:12:14,660.0,662.0,325998976,79901.17865928423,19355022
SPY.US,2025-10-14,2025-10-14 15:27:15,660.0,662.0,334429798,80507.34330245314,19355022
SPY.US,2025-10-14,2025-10-14 15:42:17,660.0,662.0,361238390,84422.96471142593,19355022
SPY.US,2025-10-14,2025-10-14 15:57:18,660.0,662.0,377210523,92113.59475927638,19355022
SPY.US,2025-10-14,2025-10-14 16:12:20,660.0,662.0,384615360,96782.38475348409,19355022
